"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","257.65","256.99","258.39","255.68","40.75K","-0.07%"
"12/30/2024","257.83","259.43","260.51","257.25","44.12K","-0.67%"
"12/27/2024","259.56","258.80","260.91","258.80","16.26K","0.27%"
"12/26/2024","258.87","260.74","260.74","257.90","33.09K","0.04%"
"12/24/2024","258.76","259.11","260.00","258.07","22.66K","-0.14%"
"12/23/2024","259.12","257.35","260.14","257.01","33.33K","0.69%"
"12/20/2024","257.35","263.00","263.00","256.50","217.92K","-1.39%"
"12/19/2024","260.97","263.62","263.62","260.11","213.20K","-0.99%"
"12/18/2024","263.59","263.67","266.97","263.04","44.80K","-0.61%"
"12/17/2024","265.20","268.41","268.41","264.70","148.86K","-1.20%"
"12/16/2024","268.42","269.01","269.99","267.22","27.92K","-0.22%"
"12/13/2024","269.00","267.23","269.13","262.95","47.55K","0.66%"
"12/12/2024","267.24","270.74","270.74","266.72","30.38K","-0.45%"
"12/11/2024","268.44","267.72","269.12","267.19","20.73K","0.27%"
"12/10/2024","267.72","267.31","268.75","266.36","22.98K","-0.05%"
"12/09/2024","267.86","270.17","270.18","267.27","24.13K","-0.22%"
"12/06/2024","268.45","267.96","270.48","265.55","17.66K","0.18%"
"12/05/2024","267.96","265.98","269.93","264.51","68.41K","0.74%"
"12/04/2024","265.98","265.93","267.90","265.00","21.17K","0.02%"
"12/03/2024","265.93","264.09","266.47","263.50","27.55K","0.70%"
"12/02/2024","264.09","259.50","265.40","257.80","155.22K","0.40%"
"11/29/2024","263.04","263.21","263.75","261.04","25.84K","0.93%"
"11/28/2024","260.61","265.00","266.89","260.23","350.38K","-1.55%"
"11/27/2024","264.71","263.53","265.38","262.50","38.25K","0.44%"
"11/26/2024","263.54","267.24","267.24","262.40","24.44K","-0.23%"
"11/25/2024","264.16","262.70","266.49","262.70","77.10K","1.67%"
"11/22/2024","259.82","253.69","260.40","253.69","131.77K","1.86%"
"11/21/2024","255.07","257.47","257.47","253.25","75.16K","-0.53%"
"11/19/2024","256.44","255.58","259.29","255.33","53.54K","0.34%"
"11/18/2024","255.58","256.87","258.98","254.50","117.11K","-0.50%"
"11/14/2024","256.87","258.99","258.99","256.00","453.51K","0.04%"
"11/13/2024","256.78","260.81","260.81","256.00","219.00K","-1.99%"
