"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","2,555.99","2,547.99","2,558.00","2,536.01","0.24K","0.03%"
"12/30/2024","2,555.34","2,611.51","2,630.00","2,554.00","0.73K","-0.65%"
"12/27/2024","2,572.07","2,574.00","2,600.26","2,564.61","0.42K","0.20%"
"12/26/2024","2,566.98","2,576.00","2,576.00","2,550.18","0.74K","0.19%"
"12/24/2024","2,562.04","2,569.99","2,578.00","2,550.47","0.62K","-0.23%"
"12/23/2024","2,568.01","2,569.99","2,582.00","2,560.01","0.46K","0.52%"
"12/20/2024","2,554.65","2,587.99","2,598.00","2,551.99","0.94K","-1.37%"
"12/19/2024","2,590.07","2,613.76","2,613.76","2,580.55","1.38K","-0.91%"
"12/18/2024","2,613.76","2,626.01","2,628.70","2,612.00","0.23K","-0.62%"
"12/17/2024","2,630.14","2,655.01","2,655.01","2,626.00","0.53K","-1.29%"
"12/16/2024","2,664.52","2,680.00","2,680.00","2,662.00","0.23K","-0.46%"
"12/13/2024","2,676.84","2,654.47","2,680.00","2,612.90","0.65K","0.84%"
"12/12/2024","2,654.46","2,664.29","2,668.00","2,654.00","1.37K","-0.37%"
"12/11/2024","2,664.29","2,662.01","2,666.00","2,662.01","0.12K","0.24%"
"12/10/2024","2,658.00","2,647.44","2,668.00","2,646.33","0.33K","-0.15%"
"12/09/2024","2,662.04","2,668.18","2,668.20","2,644.39","1.49K","-0.23%"
"12/06/2024","2,668.18","2,672.00","2,674.00","2,664.00","0.33K","-0.14%"
"12/05/2024","2,671.84","2,650.00","2,684.00","2,634.00","0.61K","0.99%"
"12/04/2024","2,645.70","2,667.99","2,667.99","2,638.00","0.32K","0.06%"
"12/03/2024","2,644.09","2,663.35","2,663.35","2,584.64","0.28K","0.77%"
"12/02/2024","2,624.00","2,610.10","2,624.00","2,598.00","0.44K","0.54%"
"11/29/2024","2,610.00","2,592.00","2,612.00","2,591.99","0.46K","1.00%"
"11/28/2024","2,584.17","2,623.99","2,630.00","2,580.00","0.54K","-1.45%"
"11/27/2024","2,622.19","2,620.01","2,628.01","2,610.00","0.51K","0.28%"
"11/26/2024","2,614.98","2,683.53","2,683.53","2,610.00","0.48K","-0.12%"
"11/25/2024","2,618.07","2,622.65","2,632.00","2,608.00","0.52K","1.32%"
"11/22/2024","2,583.89","2,530.00","2,586.00","2,530.00","0.84K","2.37%"
"11/21/2024","2,523.97","2,528.00","2,530.00","2,510.00","0.54K","-0.73%"
"11/19/2024","2,542.60","2,544.01","2,575.50","2,536.00","1.67K","0.29%"
"11/18/2024","2,535.34","2,543.92","2,554.00","2,527.11","1.07K","-0.34%"
"11/14/2024","2,543.91","2,552.00","2,564.00","2,542.00","0.37K","-0.10%"
"11/13/2024","2,546.41","2,572.00","2,576.00","2,546.00","0.61K","-1.14%"
"11/12/2024","2,575.77","2,612.00","2,678.00","2,533.60","0.47K","-1.31%"
"11/11/2024","2,610.00","2,608.54","2,628.00","2,594.01","0.46K","0.00%"
"11/08/2024","2,610.00","2,549.62","2,618.00","2,549.62","1.02K","-0.19%"
"11/07/2024","2,615.00","2,651.47","2,656.00","2,610.60","1.49K","-1.38%"
"11/06/2024","2,651.47","2,619.99","2,670.07","2,619.99","2.24K","1.35%"
"11/05/2024","2,616.15","2,590.01","2,618.03","2,574.00","0.77K","0.88%"
"11/04/2024","2,593.28","2,630.75","2,630.75","2,580.00","1.63K","-1.42%"
"11/01/2024","2,630.74","2,668.48","2,668.48","2,523.60","0.22K","0.56%"
"10/31/2024","2,616.16","2,621.99","2,626.00","2,616.00","0.23K","-0.50%"
"10/30/2024","2,629.25","2,640.00","2,642.00","2,628.00","0.41K","-0.52%"
"10/29/2024","2,642.96","2,614.01","2,643.00","2,610.00","0.24K","0.38%"
"10/28/2024","2,632.88","2,617.99","2,645.18","2,616.00","1.33K","0.80%"
"10/25/2024","2,611.98","2,635.99","2,635.99","2,602.00","1.12K","-0.90%"
"10/24/2024","2,635.61","2,572.93","2,642.17","2,572.93","0.77K","-0.12%"
"10/23/2024","2,638.90","2,695.91","2,695.92","2,638.00","0.49K","-0.16%"
"10/22/2024","2,643.05","2,675.00","2,686.00","2,642.00","0.30K","-1.34%"
"10/21/2024","2,678.88","2,746.44","2,795.00","2,668.00","1.29K","-0.14%"
"10/18/2024","2,682.62","2,726.61","2,726.61","2,652.00","1.40K","0.35%"
"10/17/2024","2,673.15","2,650.01","2,707.99","2,650.01","0.25K","-0.85%"
"10/16/2024","2,696.00","2,701.99","2,706.00","2,692.00","0.37K","-0.33%"
"10/15/2024","2,705.00","2,721.99","2,722.00","2,701.00","1.19K","-0.26%"
"10/14/2024","2,712.03","2,701.99","2,728.00","2,701.99","0.96K","0.67%"
"10/11/2024","2,694.04","2,693.99","2,704.00","2,688.00","0.45K","-0.18%"
"10/10/2024","2,698.96","2,703.99","2,718.00","2,698.00","0.14K","0.07%"
"10/09/2024","2,697.02","2,754.98","2,781.06","2,694.01","1.41K","-0.15%"
"10/08/2024","2,700.96","2,677.99","2,707.56","2,674.00","1.54K","0.78%"
"10/07/2024","2,680.02","2,715.99","2,734.39","2,670.00","2.93K","-0.81%"
"10/04/2024","2,702.00","2,730.61","2,744.00","2,698.00","1.23K","-1.05%"
"10/03/2024","2,730.61","2,757.99","2,766.73","2,728.00","2.45K","-1.92%"
"10/01/2024","2,784.12","2,794.01","2,796.00","2,782.00","0.50K","-0.09%"
"09/30/2024","2,786.53","2,812.01","2,813.99","2,786.00","0.40K","-1.36%"
"09/27/2024","2,825.09","2,884.51","2,884.51","2,823.99","0.67K","-0.10%"
"09/26/2024","2,827.90","2,807.00","2,830.00","2,806.00","0.33K","0.74%"
"09/25/2024","2,807.19","2,803.99","2,808.00","2,792.00","0.29K","0.25%"
"09/24/2024","2,800.15","2,798.00","2,806.31","2,796.01","0.25K","0.13%"
"09/23/2024","2,796.39","2,792.01","2,798.01","2,788.00","0.36K","0.46%"
"09/20/2024","2,783.63","2,754.01","2,784.01","2,739.43","0.63K","1.48%"
"09/19/2024","2,743.01","2,807.13","2,807.13","2,738.00","0.26K","0.16%"
"09/18/2024","2,738.66","2,740.00","2,746.00","2,730.00","0.32K","-0.20%"
"09/17/2024","2,744.19","2,740.01","2,746.00","2,734.45","0.44K","-0.05%"
