company_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Infosys,INFY.NS,INFY.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ABB.NS,ACC.NS,ACC.NS,ABB.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,RELIANCE.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIENT.NS,ADANIENT.NS
Wipro,WIPRO.NS,WIPRO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,AMBUJACEM.NS,ACC.NS,AMBUJACEM.NS,AMBUJACEM.NS,ACC.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,TCS.NS,ASIANPAINT.NS,APOLLOHOSP.NS,ADANIPORTS.NS,ADANIPORTS.NS
Satyam Computers (now Tech Mahindra),TECHM.NS,TECHM.NS,BANKBARODA.NS,BANKBARODA.NS,BANKBARODA.NS,BAJAJ-AUTO.NS,AMBUJACEM.NS,BHARTIARTL.NS,BHARTIARTL.NS,AMBUJACEM.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,HDFCBANK.NS,AXISBANK.NS,ASIANPAINT.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
HCL Technologies,HCLTECH.NS,HCLTECH.NS,BHEL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BANKBARODA.NS,BAJAJ-AUTO.NS,BHEL.NS,BHEL.NS,BHARTIARTL.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AUROPHARMA.NS,AUROPHARMA.NS,BAJAJFINSV.NS,,,,HINDUNILVR.NS,,AXISBANK.NS,ASIANPAINT.NS,ASIANPAINT.NS
Tata Consultancy Services (TCS),TCS.NS,,BPCL.NS,BHEL.NS,BHEL.NS,BHARTIARTL.NS,BANKBARODA.NS,BPCL.NS,BPCL.NS,BHEL.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,AXISBANK.NS,AXISBANK.NS,BANKBARODA.NS,BHARTIARTL.NS,BAJFINANCE.NS,BAJAJFINSV.NS,,BAJAJFINSV.NS,BAJAJ-AUTO.NS,AXISBANK.NS,AXISBANK.NS
NIIT (delisted),NIITLTD.NS,MTNL.NS,BRITANNIA.NS,BPCL.NS,BPCL.NS,BHEL.NS,BHEL.NS,CIPLA.NS,CIPLA.NS,BPCL.NS,BHARTIARTL.NS,BANKBARODA.NS,BANKBARODA.NS,BANKBARODA.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BPCL.NS,BOSCHLTD.NS,BAJAJFINSV.NS,BAJFINANCE.NS,INFY.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJAJ-AUTO.NS,BAJAJ-
MTNL,MTNL.NS,SBIN.NS,CIPLA.NS,BRITANNIA.NS,BRITANNIA.NS,BPCL.NS,BHARTIARTL.NS,DLF.NS,DLF.NS,VEDL.NS,BHEL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BANKBARODA.NS,BANKBARODA.NS,BHARTIARTL.NS,BPCL.NS,BPCL.NS,BHARTIARTL.NS,ICICIBANK.NS,BHARTIARTL.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BAJFINANCE.NS
Bharti Airtel,BHARTIARTL.NS,ICICIBANK.NS,COLPAL.NS,CIPLA.NS,CIPLA.NS,BRITANNIA.NS,BPCL.NS,DRREDDY.NS,DRREDDY.NS,CIPLA.NS,BPCL.NS,BHEL.NS,BHEL.NS,BHEL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHEL.NS,CIPLA.NS,BHARTIARTL.NS,BPCL.NS,KOTAKBANK.NS,BPCL.NS,BPCL.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
State Bank of India,SBIN.NS,HDFCBANK.NS,DRREDDY.NS,COLPAL.NS,COLPAL.NS,CIPLA.NS,CIPLA.NS,GAIL.NS,GAIL.NS,DLF.NS,VEDL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BHEL.NS,BHEL.NS,BOSCHLTD.NS,COALINDIA.NS,BRITANNIA.NS,ITC.NS,BRITANNIA.NS,BHARTIARTL.NS,BPCL.NS,BPCL.NS
ICICI Bank,ICICIBANK.NS,HDFCBANK.NS,GAIL.NS,DRREDDY.NS,DRREDDY.NS,COLPAL.NS,DRREDDY.NS,GRASIM.NS,GRASIM.NS,GAIL.NS,CIPLA.NS,VEDL.NS,VEDL.NS,VEDL.NS,BPCL.NS,BPCL.NS,VEDL.NS,DRREDDY.NS,BOSCHLTD.NS,CIPLA.NS,BHARTIARTL.NS,CIPLA.NS,BRITANNIA.NS,BHARTIARTL.NS,BHARTIARTL.NS
