"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","264.47","262.70","265.00","262.51","3.33M","0.04%"
"12/30/2024","264.37","267.77","267.77","263.95","3.23M","-0.76%"
"12/27/2024","266.39","265.05","267.50","265.05","1.92M","0.27%"
"12/26/2024","265.67","257.55","269.85","257.55","2.23M","0.07%"
"12/24/2024","265.49","264.62","266.88","264.62","2.23M","-0.06%"
"12/23/2024","265.66","266.99","269.00","264.55","3.26M","0.57%"
"12/20/2024","264.15","267.11","269.32","263.70","8.71M","-1.58%"
"12/19/2024","268.39","269.99","276.42","266.22","5.76M","-0.85%"
"12/18/2024","270.70","271.61","272.99","270.15","3.25M","-0.56%"
"12/17/2024","272.22","275.89","275.89","271.80","6.07M","-1.18%"
"12/16/2024","275.48","276.89","276.89","274.80","2.87M","-0.22%"
"12/13/2024","276.08","274.88","276.39","269.90","7.70M","0.72%"
"12/12/2024","274.10","275.99","276.24","273.01","1.91M","-0.32%"
"12/11/2024","274.97","275.99","275.99","273.01","2.83M","0.11%"
"12/10/2024","274.68","276.78","276.78","274.11","3.42M","-0.17%"
"12/09/2024","275.14","276.99","276.99","274.69","2.97M","-0.27%"
"12/06/2024","275.88","277.99","277.99","275.04","2.96M","-0.01%"
"12/05/2024","275.92","273.45","277.53","271.80","9.18M","0.91%"
"12/04/2024","273.43","273.94","274.10","272.10","4.35M","0.16%"
"12/03/2024","272.98","271.98","273.20","271.22","4.48M","0.59%"
"12/02/2024","271.38","271.99","271.99","267.50","3.66M","0.56%"
"11/29/2024","269.88","269.99","270.56","267.00","2.91M","0.82%"
"11/28/2024","267.68","273.99","273.99","267.21","7.30M","-1.42%"
"11/27/2024","271.54","272.99","272.99","270.00","2.97M","0.37%"
"11/26/2024","270.54","273.99","273.99","269.90","2.78M","-0.07%"
"11/25/2024","270.73","270.99","271.80","269.31","5.64M","1.45%"
"11/22/2024","266.86","262.99","267.34","261.06","4.70M","2.13%"
"11/21/2024","261.29","264.95","264.95","260.52","6.59M","-0.68%"
"11/19/2024","263.07","264.99","265.99","262.38","4.61M","0.23%"
"11/18/2024","262.47","264.99","265.08","261.25","8.20M","-0.42%"
"11/14/2024","263.57","265.65","265.65","255.75","5.12M","-0.03%"
"11/13/2024","263.64","268.98","268.99","263.00","8.89M","-1.32%"
"11/12/2024","267.18","272.98","272.99","266.81","5.34M","-1.03%"
"11/11/2024","269.96","272.98","272.98","268.43","2.99M","-0.03%"
"11/08/2024","270.03","271.18","271.48","269.17","3.45M","-0.25%"
